"","color","newpos","intcar","hosp","day","newpos_av7D","hospH8","intcarH8","dayH8"
"6784","Rossa",152,38,516,2021-01-12,248.714285714286,487,44,2021-01-19
"6805","Rossa",314,40,508,2021-01-13,241.428571428571,488,45,2021-01-20
"6826","Gialla",256,40,493,2021-01-14,245.285714285714,485,43,2021-01-21
"6847","Gialla",240,41,484,2021-01-15,256.714285714286,481,40,2021-01-22
"6868","Arancione",196,41,484,2021-01-16,227.571428571429,468,41,2021-01-23
"6889","Arancione",285,38,481,2021-01-17,223.285714285714,474,44,2021-01-24
"6910","Arancione",107,43,497,2021-01-18,221.428571428571,470,44,2021-01-25
"6931","Arancione",113,44,487,2021-01-19,215.857142857143,457,42,2021-01-26
"6952","Arancione",279,45,488,2021-01-20,210.857142857143,442,40,2021-01-27
"6973","Arancione",212,43,485,2021-01-21,204.571428571429,439,40,2021-01-28
"6994","Arancione",318,40,481,2021-01-22,215.714285714286,429,40,2021-01-29
"7015","Arancione",221,41,468,2021-01-23,219.285714285714,432,43,2021-01-30
"7036","Arancione",325,44,474,2021-01-24,225,429,46,2021-01-31
"7057","Rossa",69,44,470,2021-01-25,219.571428571429,448,47,2021-02-01
"7078","Rossa",152,42,457,2021-01-26,225.142857142857,458,44,2021-02-02
"7099","Rossa",344,40,442,2021-01-27,234.428571428571,474,47,2021-02-03
"7120","Rossa",268,40,439,2021-01-28,242.428571428571,499,47,2021-02-04
"7141","Rossa",343,40,429,2021-01-29,246,501,48,2021-02-05
"7162","Rossa",385,43,432,2021-01-30,269.428571428571,510,49,2021-02-06
"7183","Arancione",402,46,429,2021-01-31,280.428571428571,521,51,2021-02-07
"7204","Arancione",161,47,448,2021-02-01,293.571428571429,536,49,2021-02-08
"7225","Arancione",210,44,458,2021-02-02,301.857142857143,542,51,2021-02-09
"7246","Arancione",449,47,474,2021-02-03,316.857142857143,548,52,2021-02-10
"7267","Arancione",526,47,499,2021-02-04,353.714285714286,555,53,2021-02-11
"7288","Arancione",276,48,501,2021-02-05,344.142857142857,560,53,2021-02-12
"7309","Arancione",509,49,510,2021-02-06,361.857142857143,599,51,2021-02-13
"7330","Arancione",436,51,521,2021-02-07,366.714285714286,599,52,2021-02-14
"7351","Gialla",184,49,536,2021-02-08,370,594,57,2021-02-15
"7372","Gialla",241,51,542,2021-02-09,374.428571428571,599,64,2021-02-16
"7393","Gialla",314,52,548,2021-02-10,355.142857142857,614,63,2021-02-17
"7414","Gialla",540,53,555,2021-02-11,357.142857142857,622,70,2021-02-18
"7435","Gialla",357,53,560,2021-02-12,368.714285714286,619,73,2021-02-19
"7456","Gialla",508,51,599,2021-02-13,368.571428571429,642,75,2021-02-20
"7477","Gialla",222,52,599,2021-02-14,338,662,76,2021-02-21
"7498","Gialla",533,57,594,2021-02-15,387.857142857143,669,76,2021-02-22
"7519","Gialla",493,64,599,2021-02-16,423.857142857143,673,78,2021-02-23
"7540","Gialla",438,63,614,2021-02-17,441.571428571429,693,76,2021-02-24
"7561","Gialla",482,70,622,2021-02-18,433.285714285714,687,78,2021-02-25
"7582","Gialla",494,73,619,2021-02-19,452.857142857143,688,74,2021-02-26
"7603","Gialla",387,75,642,2021-02-20,435.571428571429,688,77,2021-02-27
"7624","Gialla",503,76,662,2021-02-21,475.714285714286,704,82,2021-02-28
"7645","Gialla",351,76,669,2021-02-22,449.714285714286,714,81,2021-03-01
"7666","Gialla",322,78,673,2021-02-23,425.285714285714,719,85,2021-03-02
"7687","Gialla",535,76,693,2021-02-24,439.142857142857,720,82,2021-03-03
"7708","Gialla",653,78,687,2021-02-25,463.571428571429,736,85,2021-03-04
"7729","Gialla",594,74,688,2021-02-26,477.857142857143,744,87,2021-03-05
"7750","Gialla",355,77,688,2021-02-27,473.285714285714,717,86,2021-03-06
"7771","Gialla",568,82,704,2021-02-28,482.571428571429,727,84,2021-03-07
"7792","Gialla",199,81,714,2021-03-01,460.857142857143,749,84,2021-03-08
"7813","Gialla",246,85,719,2021-03-02,450,759,87,2021-03-09
"7834","Gialla",573,82,720,2021-03-03,455.428571428571,756,87,2021-03-10
"7855","Gialla",552,85,736,2021-03-04,441,752,91,2021-03-11
"7876","Gialla",473,87,744,2021-03-05,423.714285714286,744,92,2021-03-12
"7897","Gialla",442,86,717,2021-03-06,436.142857142857,743,94,2021-03-13
"7918","Gialla",553,84,727,2021-03-07,434,766,93,2021-03-14
"7939","Arancione",273,84,749,2021-03-08,444.571428571429,772,87,2021-03-15
"7960","Arancione",187,87,759,2021-03-09,436.142857142857,762,87,2021-03-16
"7981","Arancione",372,87,756,2021-03-10,407.428571428571,756,89,2021-03-17
"8002","Arancione",608,91,752,2021-03-11,415.428571428571,756,89,2021-03-18
"8023","Arancione",515,92,744,2021-03-12,421.428571428571,760,88,2021-03-19
"8044","Arancione",320,94,743,2021-03-13,404,751,83,2021-03-20
"8065","Arancione",323,93,766,2021-03-14,371.142857142857,756,85,2021-03-21
"8086","Arancione",329,87,772,2021-03-15,379.142857142857,759,89,2021-03-22
"8107","Arancione",212,87,762,2021-03-16,382.714285714286,744,87,2021-03-23
"8128","Arancione",304,89,756,2021-03-17,373,717,82,2021-03-24
"8149","Arancione",462,89,756,2021-03-18,352.142857142857,700,79,2021-03-25
"8170","Arancione",417,88,760,2021-03-19,338.142857142857,700,85,2021-03-26
"8191","Arancione",370,83,751,2021-03-20,345.285714285714,706,83,2021-03-27
"8212","Arancione",353,85,756,2021-03-21,349.571428571429,690,77,2021-03-28
"8233","Rossa",190,89,759,2021-03-22,329.714285714286,698,78,2021-03-29
"8254","Rossa",188,87,744,2021-03-23,326.285714285714,691,69,2021-03-30
"8275","Rossa",329,82,717,2021-03-24,329.857142857143,675,68,2021-03-31
"8296","Rossa",310,79,700,2021-03-25,308.142857142857,675,69,2021-04-01
"8317","Rossa",392,85,700,2021-03-26,304.571428571429,646,69,2021-04-02
"8338","Rossa",348,83,706,2021-03-27,301.428571428571,644,71,2021-04-03
"8359","Rossa",269,77,690,2021-03-28,289.428571428571,654,69,2021-04-04
"8380","Rossa",224,78,698,2021-03-29,294.285714285714,666,70,2021-04-05
"8401","Rossa",153,69,691,2021-03-30,289.285714285714,673,70,2021-04-06
"8422","Rossa",314,68,675,2021-03-31,287.142857142857,664,72,2021-04-07
"8443","Rossa",272,69,675,2021-04-01,281.714285714286,656,71,2021-04-08
"8464","Rossa",424,69,646,2021-04-02,286.285714285714,639,68,2021-04-09
"8485","Rossa",225,71,644,2021-04-03,268.714285714286,624,67,2021-04-10
"8506","Rossa",438,69,654,2021-04-04,292.857142857143,622,65,2021-04-11
"8527","Rossa",19,70,666,2021-04-05,263.571428571429,633,64,2021-04-12
"8548","Rossa",47,70,673,2021-04-06,248.428571428571,612,59,2021-04-13
"8569","Rossa",219,72,664,2021-04-07,234.857142857143,615,58,2021-04-14
"8590","Rossa",277,71,656,2021-04-08,235.571428571429,593,56,2021-04-15
"8611","Rossa",351,68,639,2021-04-09,225.142857142857,582,57,2021-04-16
"8632","Rossa",238,67,624,2021-04-10,227,569,54,2021-04-17
"8653","Rossa",259,65,622,2021-04-11,201.428571428571,562,56,2021-04-18
"8674","Rossa",90,64,633,2021-04-12,211.571428571429,566,52,2021-04-19
"8695","Rossa",174,59,612,2021-04-13,229.714285714286,545,51,2021-04-20
"8716","Rossa",264,58,615,2021-04-14,236.142857142857,524,50,2021-04-21
"8737","Rossa",215,56,593,2021-04-15,227.285714285714,512,46,2021-04-22
"8758","Rossa",210,57,582,2021-04-16,207.142857142857,504,45,2021-04-23
"8779","Rossa",180,54,569,2021-04-17,198.857142857143,491,43,2021-04-24
"8800","Rossa",258,56,562,2021-04-18,198.714285714286,476,44,2021-04-25
"8821","Arancione",97,52,566,2021-04-19,199.714285714286,463,44,2021-04-26
"8842","Arancione",170,51,545,2021-04-20,199.142857142857,445,45,2021-04-27
"8863","Arancione",163,50,524,2021-04-21,184.714285714286,431,42,2021-04-28
"8884","Arancione",233,46,512,2021-04-22,187.285714285714,421,39,2021-04-29
"8905","Arancione",158,45,504,2021-04-23,179.857142857143,410,36,2021-04-30
"8926","Arancione",137,43,491,2021-04-24,173.714285714286,380,32,2021-05-01
"8947","Arancione",179,44,476,2021-04-25,162.428571428571,386,31,2021-05-02
"8968","Arancione",97,44,463,2021-04-26,162.428571428571,394,34,2021-05-03
"8989","Arancione",81,45,445,2021-04-27,149.714285714286,375,26,2021-05-04
"9010","Arancione",177,42,431,2021-04-28,151.714285714286,365,30,2021-05-05
"9031","Arancione",195,39,421,2021-04-29,146.285714285714,349,29,2021-05-06
"9052","Arancione",151,36,410,2021-04-30,145.285714285714,334,27,2021-05-07
"9073","Arancione",226,32,380,2021-05-01,158,309,28,2021-05-08
"9094","Arancione",159,31,386,2021-05-02,155.142857142857,299,28,2021-05-09
"9115","Gialla",37,34,394,2021-05-03,146.571428571429,307,29,2021-05-10
"9136","Gialla",85,26,375,2021-05-04,147.142857142857,279,25,2021-05-11
"9157","Gialla",192,30,365,2021-05-05,149.285714285714,270,24,2021-05-12
"9178","Gialla",174,29,349,2021-05-06,146.285714285714,255,20,2021-05-13
"9199","Gialla",196,27,334,2021-05-07,152.714285714286,234,19,2021-05-14
"9220","Gialla",85,28,309,2021-05-08,132.571428571429,224,19,2021-05-15
"9241","Gialla",145,28,299,2021-05-09,130.571428571429,221,22,2021-05-16
"9262","Gialla",54,29,307,2021-05-10,133,223,21,2021-05-17
"9283","Gialla",79,25,279,2021-05-11,132.142857142857,217,18,2021-05-18
"9304","Gialla",150,24,270,2021-05-12,126.142857142857,218,18,2021-05-19
"9325","Gialla",89,20,255,2021-05-13,114,197,16,2021-05-20
"9346","Gialla",144,19,234,2021-05-14,106.571428571429,197,15,2021-05-21
"9367","Gialla",112,19,224,2021-05-15,110.428571428571,196,17,2021-05-22
"9388","Gialla",100,22,221,2021-05-16,104,195,17,2021-05-23
"9409","Gialla",20,21,223,2021-05-17,99.1428571428571,200,17,2021-05-24
"9430","Gialla",33,18,217,2021-05-18,92.5714285714286,193,17,2021-05-25
"9451","Gialla",72,18,218,2021-05-19,81.4285714285714,187,16,2021-05-26
"9472","Gialla",62,16,197,2021-05-20,77.5714285714286,178,17,2021-05-27
"9493","Gialla",67,15,197,2021-05-21,66.5714285714286,163,17,2021-05-28
"9514","Gialla",128,17,196,2021-05-22,68.8571428571429,151,15,2021-05-29
"9535","Gialla",68,17,195,2021-05-23,64.2857142857143,147,14,2021-05-30
"9556","Gialla",15,17,200,2021-05-24,63.5714285714286,150,13,2021-05-31
"9577","Gialla",40,17,193,2021-05-25,64.5714285714286,141,14,2021-06-01
"9598","Gialla",66,16,187,2021-05-26,63.7142857142857,132,12,2021-06-02
"9619","Gialla",64,17,178,2021-05-27,64,131,12,2021-06-03
"9640","Gialla",43,17,163,2021-05-28,60.5714285714286,115,10,2021-06-04
"9661","Gialla",55,15,151,2021-05-29,50.1428571428571,109,11,2021-06-05
"9682","Gialla",54,14,147,2021-05-30,48.1428571428571,99,9,2021-06-06
"9703","Gialla",15,13,150,2021-05-31,48.1428571428571,98,7,2021-06-07
"9724","Gialla",35,14,141,2021-06-01,47.4285714285714,94,6,2021-06-08
"9745","Gialla",67,12,132,2021-06-02,47.5714285714286,85,4,2021-06-09
"9766","Gialla",10,12,131,2021-06-03,39.8571428571429,85,4,2021-06-10
"9787","Gialla",45,10,115,2021-06-04,40.1428571428571,80,4,2021-06-11
"9808","Gialla",44,11,109,2021-06-05,38.5714285714286,72,4,2021-06-12
"9829","Gialla",39,9,99,2021-06-06,36.4285714285714,73,4,2021-06-13
"9850","Gialla",13,7,98,2021-06-07,36.1428571428571,75,4,2021-06-14
"9871","Gialla",25,6,94,2021-06-08,34.7142857142857,69,4,2021-06-15
"9892","Gialla",48,4,85,2021-06-09,32,64,3,2021-06-16
"9913","Gialla",38,4,85,2021-06-10,36,57,1,2021-06-17
"9934","Gialla",28,4,80,2021-06-11,33.5714285714286,53,1,2021-06-18
"9955","Gialla",29,4,72,2021-06-12,31.4285714285714,43,1,2021-06-19
"9976","Gialla",14,4,73,2021-06-13,27.8571428571429,45,1,2021-06-20
"9997","Gialla",5,4,75,2021-06-14,26.7142857142857,45,2,2021-06-21
"10018","Gialla",28,4,69,2021-06-15,27.1428571428571,43,2,2021-06-22
"10039","Gialla",27,3,64,2021-06-16,24.1428571428571,37,2,2021-06-23
"10060","Gialla",22,1,57,2021-06-17,21.8571428571429,33,2,2021-06-24
"10081","Gialla",25,1,53,2021-06-18,21.4285714285714,29,1,2021-06-25
"10102","Gialla",35,1,43,2021-06-19,22.2857142857143,26,1,2021-06-26
"10123","Gialla",27,1,45,2021-06-20,24.1428571428571,27,1,2021-06-27
"10144","Bianca",5,2,45,2021-06-21,24.1428571428571,27,1,2021-06-28
"10165","Bianca",13,2,43,2021-06-22,22,26,1,2021-06-29
"10186","Bianca",20,2,37,2021-06-23,21,26,1,2021-06-30
"10207","Bianca",40,2,33,2021-06-24,23.5714285714286,25,1,2021-07-01
"10228","Bianca",19,1,29,2021-06-25,22.7142857142857,22,1,2021-07-02
"10249","Bianca",20,1,26,2021-06-26,20.5714285714286,23,1,2021-07-03
"10270","Bianca",29,1,27,2021-06-27,20.8571428571429,22,1,2021-07-04
"10291","Bianca",1,1,27,2021-06-28,20.2857142857143,24,1,2021-07-05
"10312","Bianca",30,1,26,2021-06-29,22.7142857142857,24,1,2021-07-06
"10333","Bianca",35,1,26,2021-06-30,24.8571428571429,24,1,2021-07-07
"10354","Bianca",50,1,25,2021-07-01,26.2857142857143,26,1,2021-07-08
"10375","Bianca",23,1,22,2021-07-02,26.8571428571429,27,1,2021-07-09
"10396","Bianca",28,1,23,2021-07-03,28,29,1,2021-07-10
"10417","Bianca",25,1,22,2021-07-04,27.4285714285714,30,1,2021-07-11
"10438","Bianca",7,1,24,2021-07-05,28.2857142857143,30,1,2021-07-12
