"","color","newpos","intcar","hosp","day","newpos_av7D","hospH8","intcarH8","dayH8"
"6154","Arancione",344,63,685,2020-12-13,344,599,42,2020-12-20
"6175","Arancione",192,64,694,2020-12-14,322.285714285714,598,43,2020-12-21
"6196","Arancione",100,59,660,2020-12-15,287.428571428571,575,41,2020-12-22
"6217","Arancione",257,56,655,2020-12-16,275,545,39,2020-12-23
"6238","Arancione",246,49,633,2020-12-17,261,526,35,2020-12-24
"6259","Arancione",227,42,601,2020-12-18,244.285714285714,469,34,2020-12-25
"6280","Arancione",156,43,608,2020-12-19,217.428571428571,465,36,2020-12-26
"6301","Gialla",216,42,599,2020-12-20,199.142857142857,479,36,2020-12-27
"6322","Gialla",64,43,598,2020-12-21,180.857142857143,496,38,2020-12-28
"6343","Gialla",86,41,575,2020-12-22,178.857142857143,489,38,2020-12-29
"6364","Gialla",255,39,545,2020-12-23,178.571428571429,468,36,2020-12-30
"6385","Gialla",223,35,526,2020-12-24,175.285714285714,465,35,2020-12-31
"6406","Gialla",339,34,469,2020-12-25,191.285714285714,473,38,2021-01-01
"6427","Gialla",34,36,465,2020-12-26,173.857142857143,480,37,2021-01-02
"6448","Gialla",25,36,479,2020-12-27,146.571428571429,486,41,2021-01-03
"6469","Gialla",41,38,496,2020-12-28,143.285714285714,505,39,2021-01-04
"6490","Gialla",47,38,489,2020-12-29,137.714285714286,510,39,2021-01-05
"6511","Gialla",278,36,468,2020-12-30,141,502,39,2021-01-06
"6532","Rossa",456,35,465,2020-12-31,174.285714285714,514,36,2021-01-07
"6553","Rossa",410,38,473,2021-01-01,184.428571428571,516,36,2021-01-08
"6574","Rossa",23,37,480,2021-01-02,182.857142857143,503,40,2021-01-09
"6595","Rossa",207,41,486,2021-01-03,208.857142857143,506,41,2021-01-10
"6616","Arancione",121,39,505,2021-01-04,220.285714285714,509,38,2021-01-11
"6637","Arancione",213,39,510,2021-01-05,244,516,38,2021-01-12
"6658","Arancione",365,39,502,2021-01-06,256.428571428571,508,40,2021-01-13
"6679","Rossa",229,36,514,2021-01-07,224,493,40,2021-01-14
"6700","Rossa",160,36,516,2021-01-08,188.285714285714,484,41,2021-01-15
"6721","Rossa",400,40,503,2021-01-09,242.142857142857,484,41,2021-01-16
"6742","Rossa",315,41,506,2021-01-10,257.571428571429,481,38,2021-01-17
"6763","Arancione",120,38,509,2021-01-11,257.428571428571,497,43,2021-01-18
